0;-6.43;-1.56;9.81;-3.14;-0.31;0.32
1;-6.88;-2.26;12.72;-2.97;0.17;0.86
2;-6.53;-2.89;15.52;-2.68;0.55;1.40
3;-5.41;-3.41;18.21;-2.29;0.94;1.91
4;-3.49;-4.04;20.29;-1.81;1.19;2.27
5;-2.32;-4.36;21.53;-1.23;1.37;2.46
6;-2.17;-4.41;21.67;-0.61;1.39;2.51
7;-3.27;-4.09;20.99;-0.04;1.58;2.66
8;-3.40;-4.13;20.27;0.40;1.69;2.93
9;-2.61;-4.41;19.65;0.77;1.79;3.23
10;-0.89;-4.75;19.40;1.13;1.63;3.36
11;1.00;-5.05;19.24;1.50;1.44;3.32
12;2.35;-5.04;18.72;1.86;1.31;3.21
13;4.46;-5.17;18.02;2.22;0.95;2.97
14;7.64;-5.37;16.91;2.59;1.15;2.75
15;8.65;-4.78;15.27;2.85;0.87;2.26
16;9.90;-4.36;13.75;3.02;0.06;1.45
17;9.66;-3.57;12.12;3.17;-0.57;0.59
18;8.33;-2.82;9.96;3.24;-1.10;-0.17
19;7.11;-1.83;7.69;3.20;-1.54;-0.75
20;6.57;-0.72;5.63;3.01;-1.90;-1.23
21;5.64;0.52;3.66;2.67;-2.46;-1.75
22;4.80;1.32;2.34;2.25;-3.07;-2.27
23;3.70;2.05;1.44;1.79;-3.30;-2.62
24;2.40;2.69;0.59;1.31;-3.38;-2.80
25;2.17;3.19;-0.32;0.80;-3.58;-2.91
26;1.97;3.85;-1.69;0.28;-3.50;-2.95
27;1.62;4.19;-3.23;-0.29;-3.15;-2.93
28;-0.30;4.72;-4.34;-0.97;-2.72;-2.83
29;-2.32;4.59;-4.16;-1.75;-2.48;-2.64
30;-4.27;3.61;-2.63;-2.49;-2.06;-2.23
31;-5.72;2.37;-0.63;-3.03;-1.50;-1.66
32;-5.87;1.15;1.44;-3.39;-0.98;-1.02
33;-5.58;0.35;3.13;-3.64;-0.49;-0.47
34;-4.89;-0.61;4.88;-3.82;-0.18;-0.05
35;-4.84;-1.58;6.47;-3.92;0.01;0.28
36;-5.31;-2.48;8.47;-3.96;0.10;0.57
37;-6.07;-3.42;10.62;-3.93;0.04;0.87
38;-6.44;-4.35;12.96;-3.76;0.17;1.29
39;-6.44;-5.04;15.51;-3.49;0.38;1.77
40;-6.15;-5.54;18.68;-3.13;0.61;2.22
41;-4.87;-6.44;21.99;-2.63;0.88;2.63
42;-4.15;-6.73;24.40;-1.92;1.26;2.98
43;-3.15;-6.96;26.11;-1.14;1.29;3.19
44;-2.50;-7.26;27.10;-0.36;1.38;3.34
45;-1.83;-7.77;27.83;0.42;1.49;3.50
46;-0.74;-8.37;27.69;1.26;1.62;3.66
47;0.61;-8.80;26.06;2.07;1.73;3.75
48;2.21;-8.95;23.03;2.77;1.79;3.74
49;2.27;-8.21;19.86;3.18;0.88;3.45
50;4.25;-8.30;16.96;3.60;0.96;3.30
51;5.42;-8.09;14.33;3.87;0.86;3.09
52;8.02;-7.74;12.90;4.02;1.37;2.90
53;8.75;-6.85;11.54;4.10;1.36;2.49
54;10.48;-6.11;9.76;4.16;0.96;1.84
55;10.28;-4.40;6.95;4.12;0.39;1.04
56;8.65;-2.02;4.41;3.79;-1.13;-0.01
57;7.17;-0.46;2.89;3.23;-3.09;-1.13
58;7.00;0.04;2.24;2.68;-4.09;-1.94
59;6.87;0.51;1.43;2.23;-3.94;-2.42
60;5.21;2.07;0.48;1.77;-3.79;-2.86
61;3.34;2.81;0.14;1.22;-4.15;-3.30
62;2.10;3.15;0.09;0.66;-4.47;-3.52
63;0.91;3.84;-0.23;0.10;-4.73;-3.57
64;0.43;4.22;-0.69;-0.50;-4.86;-3.54
65;0.37;4.02;-0.92;-1.06;-4.28;-3.33
66;-0.85;4.07;-1.13;-1.55;-3.48;-3.04
67;-2.18;3.72;-0.52;-2.08;-2.73;-2.68
68;-3.58;3.00;1.01;-2.55;-2.01;-2.21
69;-4.76;2.10;2.80;-2.89;-1.52;-1.71
70;-4.83;1.27;4.52;-3.10;-1.20;-1.20
71;-4.43;0.58;5.54;-3.19;-0.62;-0.68
72;-4.05;0.07;5.94;-3.23;-0.06;-0.22
73;-3.92;-0.43;5.66;-3.31;0.23;0.12
74;-3.17;-1.32;5.59;-3.45;0.24;0.36
75;-3.09;-2.12;6.00;-3.65;0.27;0.55
76;-3.63;-2.99;7.41;-3.84;-0.00;0.67
77;-4.28;-3.97;9.32;-3.92;-0.24;0.86
78;-5.16;-4.89;11.82;-3.84;-0.22;1.20
79;-5.81;-5.91;14.69;-3.64;-0.19;1.61
80;-6.47;-6.54;18.11;-3.31;-0.17;2.05
81;-5.73;-7.48;21.99;-2.78;0.04;2.54
82;-5.01;-8.09;25.78;-2.06;0.30;3.02
83;-3.21;-8.66;28.35;-1.15;0.68;3.43
84;-2.29;-8.73;28.89;-0.14;0.89;3.68
85;-1.41;-8.81;27.72;0.80;0.82;3.79
86;-0.68;-9.10;25.53;1.60;0.92;3.93
87;0.27;-9.47;23.15;2.24;1.06;4.10
88;1.58;-9.95;20.47;2.79;1.42;4.25
89;3.86;-10.26;18.42;3.18;1.67;4.26
90;5.54;-10.08;16.47;3.48;2.13;4.24
91;7.15;-9.33;15.05;3.66;2.13;4.06
92;9.33;-8.50;14.09;3.72;1.48;3.60
93;11.39;-7.92;12.86;3.81;0.79;2.89
94;11.52;-6.45;10.63;3.91;0.04;1.97
95;12.60;-5.40;8.55;3.92;-0.52;1.03
96;11.70;-3.99;6.60;3.82;-0.52;0.25
97;9.57;-2.28;5.53;3.53;-1.25;-0.58
98;8.54;-1.66;5.13;3.15;-2.36;-1.40
99;7.96;-1.18;4.36;2.81;-3.16;-2.14
100;6.17;-0.02;2.58;2.43;-4.04;-2.87
101;4.63;1.11;1.77;1.88;-5.06;-3.60
102;2.86;1.58;1.78;1.32;-5.41;-4.03
103;1.28;1.97;2.41;0.86;-5.05;-4.08
104;-0.27;2.41;2.29;0.56;-4.37;-3.86
105;-1.46;3.52;0.92;0.25;-4.09;-3.61
106;-1.68;4.28;-0.54;-0.19;-3.94;-3.37
107;-1.92;4.66;-1.51;-0.71;-3.53;-3.02
108;-2.00;4.52;-1.70;-1.27;-2.63;-2.55
109;-2.94;4.43;-1.33;-1.84;-1.95;-2.08
110;-3.62;3.76;-0.18;-2.38;-1.61;-1.66
111;-3.51;2.67;1.29;-2.79;-1.41;-1.24
112;-3.04;1.83;2.70;-3.06;-0.99;-0.83
113;-2.74;1.10;4.15;-3.26;-0.63;-0.50
114;-2.78;0.39;5.57;-3.41;-0.29;-0.20
115;-2.74;-0.56;6.70;-3.46;0.09;0.13
116;-2.92;-1.05;7.59;-3.47;0.26;0.43
117;-2.71;-1.84;8.73;-3.50;0.22;0.66
118;-2.47;-2.58;10.45;-3.53;0.17;0.85
119;-2.82;-3.32;12.44;-3.45;0.16;1.04
